Postal Code,"    Under $10,000 (including loss)","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over","      $80,000 to $89,999","      $90,000 to $99,999"
M1B,13930,15095,11280,9480,7605,4705,2815,1890,2640,1130,600
M1C,3660,3535,2780,2390,2305,1770,1350,1125,2140,775,450
M1E,8115,9040,7005,5625,4555,2920,1875,1360,2020,820,415
M1G,8955,9640,7245,5250,3805,2365,1445,830,1090,525,220
M1J,6010,7035,5415,4075,2865,1600,920,470,770,310,145
M1K,4580,5835,4505,3485,2525,1395,835,480,450,225,90
M1L,6175,7065,5235,3855,2955,2000,1315,875,1020,490,220
M1M,2180,2455,1910,1435,1265,970,660,545,1105,390,210
M1N,2795,2945,2500,2015,1840,1515,1045,895,2035,635,360
M1P,8900,9120,7240,6010,4265,2660,1635,1030,1260,590,290
M1R,4005,4680,4095,2990,2380,1580,995,600,750,345,160
M1S,4590,4640,3075,2270,1665,1150,695,500,710,290,155
M1T,4435,5265,3740,2730,1985,1335,865,600,950,380,210
M1V,10165,12640,7505,5095,3620,2230,1375,915,1300,525,305
M1W,12355,14315,9285,6395,4695,3040,1890,1375,2055,835,485
M2H,5285,5055,3285,2500,2155,1725,1270,1015,2330,765,435
M2J,10975,9295,7055,5460,4530,3035,2315,1570,2660,985,600
M2K,3890,2805,2155,1805,1700,1400,1110,860,2035,600,365
M2L,1280,660,570,415,425,415,395,375,2780,265,240
M2M,3380,2775,1705,1260,1040,830,660,440,1115,355,195
M2N,11190,6840,4480,3840,3590,3000,2400,1910,4285,1300,800
M2P,2710,2000,1500,1220,1195,985,760,655,3190,500,425
M2R,12280,12685,9065,6450,4695,3040,2190,1635,3340,1100,660
M3A,5090,5145,4280,3435,2795,2040,1395,985,1955,615,350
M3B,3320,3265,2725,2450,2360,1905,1550,1135,3675,905,630
M3C,3675,4210,3055,2055,1320,795,465,265,380,165,75
M3H,4155,4950,4160,3300,2355,1850,1355,1010,2590,770,435
M3J,5135,5000,4030,3085,2215,1235,725,375,455,205,110
M3L,4460,6005,4785,3415,2140,1070,535,260,230,120,50
M3M,4595,6060,5680,4245,2955,1735,1060,610,770,340,165
M3N,3475,4405,3065,2375,1340,610,290,150,110,65,20
M4A,2580,3115,2320,1840,1445,895,560,395,635,230,145
M4B,2605,2850,2425,1795,1420,1010,695,605,1135,345,245
M4C,3440,4040,3080,2215,1780,1260,900,620,890,405,195
M4E,5010,4990,3885,3205,2995,2640,2225,1990,6515,1575,1020
M4G,1870,1350,1155,1010,1040,870,790,725,3920,605,440
M4H,3235,3775,2570,1470,1075,645,460,295,370,155,75
M4J,5150,6625,4800,3560,3255,2670,2195,1935,4490,1520,870
M4K,3640,4455,3505,2780,2415,1845,1360,1255,4000,950,595
M4L,3195,4055,2830,2185,1945,1705,1420,1260,2635,935,510
