Membership No  Date Joined  Active  
    13068      2015-8-12    no    
    47745      2020-10-2    yes   
    44020      2020-12-24   no    
    25642      2017-6-25    yes   
    25038      2020-7-10    yes   
    33188      2019-11-23   yes   
    45983      2020-7-18    no    
    37345      2018-3-12    no    
    68622      2019-4-8     no    
    36931      2018-12-12   yes   
    89032      2017-6-10    yes   
    69606      2020-2-17    yes   
    20022      2016-1-6     yes   
    39980      2018-3-21    no    
    39536      2016-6-1     yes   
    58106      2017-9-9     no    
    39231      2018-5-20    yes   
    74341      2018-12-24   no    
    82043      2020-6-22    yes   
    26644      2020-8-21    yes   
